SYMBOL,degree_centrality_score
STK32C,0.04598770216503901
MIB1,0.1369296749857903
VAV3,0.04681444737250039
PIFO,0.018136722988683924
DLG4,0.13243424792021907
PRKX,0.10504831292306102
CFL1,0.1124890197902134
MAPK15,0.09600578721645223
CTNNA1,0.05993902754094972
LRRK2,0.25117552834185913
BOLA2B,0.10205136154601353
DUSP23,0.039890456260011364
SND1,0.06489949878571798
SESTD1,0.018653438743347284
DOCK6,0.02190874799772645
SPEG,0.05937064021082003
STX16,0.04707280524983207
ANKLE1,0.055236914173513146
PSMD4,0.10375652353640262
PFDN1,0.04133726037306877
CLHC1,0.041957319278664806
GNAQ,0.06898155324755852
TMED10,0.04247403503332817
SYNPO2,0.044437554901048934
SLC2A4,0.0817444323877435
EGFR,0.26647031467989457
GNB2,0.08205446184054152
MYO6,0.06774143543636646
RGL3,0.014778070583372088
MAP2K1,0.13140081641089238
ANKRD29,0.05192993334366765
GSK3B,0.17955872474551748
CSNK1A1L,0.0313129747325996
no-symbol,0.11429752493153517
KIF3B,0.05647703198470521
VPS18,0.037358549062160906
NMT2,0.024440655195576914
RGL2,0.020720301762000723
MAP3K9,0.057200434041233914
GUCY2D,0.04371415284452023
RGS12,0.027850979176355088
ATP5MJ,0.018860125045212627
KDR,0.11801787836511135
ANKK1,0.050689815532475584
RMDN3,0.01498475688523743
HGF,0.07833410840696532
RACGAP1,0.056580375135637885
STX6,0.04237069188239549
TRIB3,0.07735234847310495
UCK2,0.0607657727484111
MALRD1,0.041182245646669766
PPP5C,0.11109388725262233
LDHB,0.06712137653077042
PGM1,0.0561670025319072
TEC,0.04516095695757764
SPTBN4,0.0660879450214437
PIK3C2A,0.10634010230971942
GBF1,0.04593603058957268
ARHGEF4,0.04273239291065985
GOLGA5,0.01948018395080866
RAB21,0.03679016173203121
NFKBIA,0.11657107425205394
UCMA,0.00563220172583062
ALDH5A1,0.042577378184260835
WDFY3,0.061695861106805146
AGAP3,0.026972562393427376
SCYL1,0.01782669353588591
PKN3,0.04784787888182711
DAPK3,0.04557432956130832
PKP3,0.03999379941094404
SEC22C,0.030176200072340204
MAP1LC3A,0.05456518369245078
AP2M1,0.057200434041233914
KANK4,0.046091045315971683
DAPK2,0.033018136722988686
CIT,0.08220947656694053
DUSP28,0.028781067534749134
PRKCH,0.06340102309719423
HIPK4,0.044695912778380614
PLXNC1,0.02728259184622539
EXOC6B,0.03549837234537281
ARL2BP,0.009765927763137498
DYNC1I2,0.052860021702061694
KLHL7,0.024905699374773937
PPIF,0.08417299643466129
RAB7A,0.09052860021702061
BSCL2,0.024233968893711568
PDLIM5,0.050689815532475584
PKDCC,0.06257427788973285
ABI1,0.04433421175011626
TBC1D2,0.039270397354415336
INS,0.31281971787319796
CYTH3,0.029814499044075852
RAPGEF6,0.019893556554539348
MYO5B,0.07616390223737922
RAP2C,0.0870666046607761
RASGRP3,0.039632098382679684
ZNF24,0.019273497648943316
DOCK7,0.03048622952513822
ITSN1,0.0739936960677931
PLXNB1,0.03368986720405105
PGM5,0.03524001446804113
ARL8A,0.0727019066811347
no-symbol,0.06701803337983775
CAPZB,0.06500284193665065
PKP4,0.0451092853821113
PSAT1,0.05611533095644086
POTEI,0.07745569162403762
MAPK13,0.11052549992249264
FLT1,0.07993592724642175
KIAA1755,0.013279594894848343
RAPGEFL1,0.01498475688523743
CLTA,0.04082054461840542
STXBP5,0.03487831343977678
RAB11FIP3,0.02821268020461944
PLK5,0.0810210303312148
NET1,0.03100294527980158
no-symbol,0.08530977109492069
no-symbol,0.016328217847362166
RASA1,0.05001808505141322
VAMP3,0.058233865550560635
C2CD4B,0.009714256187671163
RAB6B,0.06557122926678034
ACAP2,0.03451661241151242
PELO,0.026455846638764016
ARHGEF26,0.02526740040303829
TNNC1,0.05663204671110422
EPN1,0.040097142561876714
YWHAG,0.13780809176871803
FCHSD1,0.020048571280938357
KIF3C,0.06500284193665065
EPHA7,0.08169276081227717
KANK2,0.05482354156978246
TBC1D10B,0.014623055856973079
ARPIN-AP3S2,0.01410634010230972
no-symbol,0.035188342892574796
SLITRK5,0.0189634681961453
UBE2Z,0.07373533819046142
PIK3CB,0.09300883583940474
ATP6V0A2,0.04061385831654007
PLEKHG7,0.01689660517749186
SCFD1,0.03673849015656487
JUP,0.08293287862346922
TUBE1,0.05611533095644086
APPL2,0.02805766547822043
THADA,0.03425825453418075
SEC31B,0.0320363767891283
RADIL,0.04671110422156771
AGPS,0.029297783289412495
TGFBR2,0.11476256911073218
no-symbol,0.034671627137911436
FAU,0.1358962434764636
DYNC1LI1,0.03751356378855991
FAS,0.0762672453883119
CDC6,0.13408773833514184
ATP5F1B,0.1415284452022942
EPHA10,0.053118379579393374
KIFAP3,0.038495323722420295
DAB2IP,0.0509998449852736
AMHR2,0.0509998449852736
PIK3CA,0.14452539657934171
PPP3CB,0.15387795173874852
ZYX,0.05291169327752803
SEC14L5,0.021392032243063092
EPHA8,0.057458791918565594
UBE2L3,0.08391463855732961
no-symbol,0.054151811088720095
TYK2,0.0773006768976386
COPA,0.03399989665684907
GAPVD1,0.06980829845501989
GOSR1,0.035033328166175784
GNAT1,0.050586472381542916
no-symbol,0.020926988063866066
ADCY3,0.07652560326564357
UACA,0.05203327649460032
ZNFX1,0.029917842195008527
CYFIP1,0.05404846793778742
MET,0.12365008009094197
ASB3,0.052291634371932
GRTP1,0.03808195111868961
DYRK2,0.055546943626311164
no-symbol,0.02562910143130264
RHBDL3,0.11326409342220845
ACTG2,0.0992610964708314
PARD6G,0.03296646514752235
USP32,0.08510308479305534
TSSK4,0.06107580220120912
PRKAR1A,0.07234020565287036
FES,0.08133105978401281
LIMK2,0.06112747377667545
ASPM,0.10112127318761949
ANKRD35,0.03637678912830052
ELMOD2,0.011522761328992921
TXNDC5,0.05218829122099933
CALML3,0.05983568439001705
SRMS,0.042008990854131144
TGFBR1,0.10096625846122048
SIPA1L3,0.018291737715082933
UBE2D4,0.07440706867152379
ARAP1,0.035550043920839144
HERC4,0.046039373740505346
NFKBIB,0.06753474913450111
PLEK,0.10711517594171446
RPL36,0.057872164522296286
SMG1,0.11073218622435797
no-symbol,0.1409600578721645
RHOG,0.09781429235777399
TUBA3E,0.07022167105875059
PSD4,0.0228388363561205
HUNK,0.06443445460652095
TSPAN17,0.011522761328992921
YKT6,0.05792383609776262
UBE2A,0.11538262801632822
EPHA1,0.07864413785976335
DUSP8,0.05182659019273497
PIP5KL1,0.023923939440913554
UBE2O,0.07719733374670594
EIF2S1,0.08753164883997314
AP1M1,0.037358549062160906
COPB1,0.07342530873766341
LPXN,0.04371415284452023
IQSEC1,0.028884410685681806
OBSCN,0.06071410117294476
CDC42BPB,0.06887821009662584
NPR2,0.0412339172221361
ZDHHC3,0.013124580168449336
DTX3,0.010747687696997882
KIF20A,0.08241616286880586
AP1S3,0.018653438743347284
AP5M1,0.026094145610499664
LRRC59,0.03704851960936289
ANKMY2,0.04154394667493412
ARPC4,0.029039425412080815
CYB5B,0.05828553712602697
RABGGTA,0.019945228130005682
SURF4,0.045522657985841986
KANK3,0.04407585387278458
PI4KB,0.11217899033741538
STYX,0.03368986720405105
no-symbol,0.04908799669301917
FBXO8,0.03451661241151242
CAMK4,0.06732806283263576
IKBKG,0.0869115899343771
ANKRD10,0.04733116312716375
PHLPP1,0.053893453211388415
PLXNA4,0.033121479873921354
RAP1GAP,0.03379321035498372
TNNC2,0.06427943988012194
RAB2A,0.08887510980209787
MYH6,0.09755593448044231
PLEKHG4B,0.026455846638764016
MLKL,0.05379011006045574
no-symbol,0.03182969048726295
ARHGAP4,0.033896553505916395
CNGB1,0.025939130884100655
FMN2,0.071668475171808
LCLAT1,0.021495375393995764
GGA1,0.03653180385469953
UBE2W,0.06970495530408723
FGD3,0.038495323722420295
MYL3,0.07420038236965845
GNAI3,0.06691469022890507
GRIA2,0.09109698754715032
MAPK14,0.19268330491396682
GPN1,0.033379837751253034
JMJD6,0.03947708365628068
ANKHD1-EIF4EBP3,0.060145713842815064
no-symbol,0.0445408980519816
GDI2,0.0666563323515734
AGPAT4,0.02294217950705317
IBSP,0.04919133984395184
ANKS4B,0.045470986410375655
DUSP6,0.058905596031623
STXBP5L,0.05151656073993696
UBE2V2,0.0798842556709554
NSF,0.1038598666873353
RHEB,0.10106960161215316
CDC5L,0.11791453521417868
PRKAR2A,0.0594739833617527
TUBA8,0.07482044127525449
DYNC1I1,0.05497855629618147
FMNL1,0.07130677414354364
TUBB6,0.06515785666304966
CHST15,0.015708158941766134
ACVRL1,0.06846483749289516
SLC35F1,0.03141631788353227
PRKAR2B,0.06562290084224667
PARD6B,0.033379837751253034
PFN4,0.03038288637420555
YTHDF2,0.039838784684545034
GSK3A,0.11620937322378959
MTCH1,0.01793003668681858
ANKDD1B,0.04934635457035085
RAB1A,0.07027334263421692
GABPB2,0.04784787888182711
KLHL24,0.039787113109078696
no-symbol,0.01513977161163644
PSD,0.05296336485299437
TNNI3K,0.049553040872216195
SHANK1,0.12209993282695189
ARHGDIG,0.032243063090993646
SEC61B,0.05177491861726864
STK38L,0.09228543378287604
CCDC12,0.014778070583372088
OTUB1,0.03399989665684907
MON2,0.06345269467266057
