SYMBOL,tissue_specificity_score
ABHD11-AS1,0.40458469463172253
ABHD12,0.8269814722779595
ABHD12B,0.6089171276121462
ABHD13,0.8659038217087018
ABHD14A,0.66634037536886
ABHD14A-ACY1,0.37670332631604686
ABHD14B,0.861259724287797
ABHD15,0.833760741853897
ABHD15-AS1,0.45877109676600114
ABHD16A,0.8512340433956866
ABHD16B,0.024329076727416354
ABHD17A,0.8345506675905684
ABHD17AP1,0.3121172073786542
ABHD17AP3,0.6980658113745619
ABHD17AP4,0.08259913602206848
ABHD17AP5,0.16893874251118668
ABHD17AP6,0.26135228627158746
ABHD17B,0.8697727249753597
ABHD17C,0.7394586500132976
ABHD18,0.8685044661850799
ABHD2,0.8787908687813359
ABHD3,0.8542910793346364
ABHD4,0.8478667593704586
ABHD5,0.8228072747039661
ABHD6,0.7945557405515697
ABHD8,0.7699469725088877
ABI1,0.8819762199515475
ABI1P1,0.21783162161149805
ABI2,0.8641427156038971
ABI3,0.7556118071856142
ABI3BP,0.6445306720104882
ABITRAM,0.8553407154430938
ABL1,0.8517625374631957
ABL2,0.8750599006767772
ABLIM1,0.8615483492257608
ABLIM2,0.6487669954843597
ABLIM3,0.6418271673472598
ABO,0.7061985094909098
ABR,0.8598445872086521
ABRA,0.3599953880016922
ABRACL,0.8168886316301779
ABRAXAS1,0.8290871514255224
ABRAXAS2,0.8778241606837773
ABT1,0.8759172165301838
ABT1P1,0.45693372491189244
ABTB1,0.8489485143858845
ABTB2,0.7513536232130916
ACAA1,0.8626385902608469
ACAA2,0.8652087907065558
ACACA,0.2679354285691017
ACACB,0.8225470329482236
ACAD10,0.874379901913129
ACAD11,0.04145250809801482
ACAD8,0.8648391505922746
ACAD9,0.8816248354255363
ACADL,0.4826861927552841
ACADM,0.8750023351525289
ACADS,0.8051817684271839
ACADSB,0.8722174208411578
ACADVL,0.872776660570184
ACAN,0.489052556462759
ACAP1,0.8080540114038859
ACAP2,0.8684580484645819
ACAP2-IT1,0.7129185153269529
ACAP3,0.8004048162867786
ACAT1,0.8607148293705559
ACAT2,0.8462217595692418
ACBD3,0.8784004030631158
ACBD3-AS1,0.0
ACBD4,0.8281645613988341
ACBD5,0.8715745984358538
ACBD6,0.10712768024686203
ACBD7,0.7038456554449704
ACCS,0.8320876867396506
ACCSL,0.005308216367783114
ACD,0.8469738385524826
ACE,0.7249655156942476
ACE2,0.4075903199852954
ACE3P,0.022650745151836627
ACER1,0.5396351138746329
ACER2,0.7552383608259963
ACER3,0.8588387947794458
ACHE,0.575629639540368
ACIN1,0.9023817290747501
ACKR1,0.5716981279840304
ACKR2,0.6990331767737714
ACKR3,0.7101238647924867
ACKR4,0.5863090200936996
ACKR4P1,0.08578209175879759
ACLY,0.8950111173684685
ACMSD,0.37997767948720673
ACNATP,0.0
ACO1,0.8446718694020775
ACO2,0.8772555940953864
ACOD1,0.04212569378764819
ACOT1,0.7335892073631644
ACOT11,0.8204871308751399
ACOT12,0.2320352593103593
ACOT13,0.8627056793867801
ACOT2,0.8085328413187228
ACOT4,0.6663729921065882
ACOT6,0.16779222463213328
ACOT7,0.8111740044149468
ACOT8,0.876482089390834
ACOT9,0.8686425743222372
ACOX1,0.8752143204536952
ACOX2,0.6269876330223874
ACOX3,0.8662520238456921
ACOXL,0.4787895426267226
ACOXL-AS1,0.3861659422437447
ACP1,0.8931242355913565
ACP2,0.8317117701896417
ACP3,0.5600883628260808
ACP4,0.2871124225052283
ACP5,0.7219303618767098
ACP6,0.8457222459451491
ACP7,0.27902307932849923
ACR,0.4031644036628773
ACRBP,0.7413273250733169
ACRP1,0.0
ACRV1,0.3640122990813751
ACSBG1,0.6573278910026303
ACSBG2,0.49983764810524567
ACSF2,0.8284631258561279
ACSF3,0.8770209444572082
ACSL1,0.8363260839112592
ACSL3,0.8760368723637554
ACSL3-AS1,0.2857521013939869
ACSL4,0.8700762437046585
ACSL5,0.8301535094334297
ACSL6,0.6876117110884937
ACSL6-AS1,0.14897258729972784
ACSM1,0.6115752519917557
ACSM2A,0.29528274606061167
ACSM2B,0.21665499663530785
ACSM3,0.7296773666037312
ACSM4,0.4763332630075624
ACSM5,0.5529530377684773
ACSM5P1,0.048127489932665024
ACSM6,0.15094788846691587
ACSS1,0.8644062290784066
ACSS2,0.8349586462771916
ACSS3,0.6451885454362123
ACTA1,0.469037460786321
ACTA2,0.7469583247598842
ACTA2-AS1,0.6683084265542187
ACTB,0.9099155530542817
ACTBL2,0.04882318585163292
ACTBP11,0.0
ACTBP12,0.04312110068952768
ACTBP14,0.03575543677650517
ACTBP15,0.10457316719547549
ACTBP2,0.2514972726324165
ACTBP7,0.12094469783623196
ACTBP8,0.05921607223089509
ACTBP9,0.2901472634119311
ACTC1,0.5039089286363738
ACTE1P,0.6275827325997875
ACTG1,0.9140910871307347
ACTG1P1,0.6093268562589125
ACTG1P10,0.3663091084521093
ACTG1P12,0.0
ACTG1P14,0.4713298001780767
ACTG1P15,0.04513759160212927
ACTG1P17,0.6250362094397628
ACTG1P18,0.040191426839020106
ACTG1P20,0.7340175970331879
ACTG1P22,0.026121728292480384
ACTG1P23,0.10057604703316214
ACTG1P24,0.07150304831358112
ACTG1P25,0.32110414931970466
ACTG1P3,0.6868828160540901
ACTG1P9,0.3409805147602064
ACTG2,0.49493795465180457
ACTL11P,0.020848281048698514
ACTL6A,0.8636223763335248
ACTL6B,0.2151606471396723
ACTL7A,0.041333076606617225
ACTL7B,0.05261447090412996
ACTL8,0.0
ACTL9,0.023513746970609373
