SYMBOL,overall_score,affected_pathway_score,animal_model_score,genetic_association_score,literature_score,rna_expression_score,somatic_mutation_score,druggability_score_smallmolecule,druggability_score_other_modalities,druggability_score_antibody
ELSPBP1,0.022654956587141287,0.0,0.0,0.0036160552838371907,0.019038901303304104,0.0,0.0,0.0,0.0,0.4499999999999999
S100Z,0.104424452577932,0.0,0.0,0.09776461486601166,0.005166468253968255,0.0014933694579521099,0.0,0.0,0.0,0.0
SRSF12,0.2639814521266832,0.0,0.0,0.23226088451014626,0.019567901234567902,0.012152666381969063,0.0,0.0,0.0,0.0
NT5C1B-RDH14,0.4374788176786896,0.0,0.03191333333333333,0.4055654843453563,0.0,0.0,0.0,0.0,0.0,0.0
CDC20,0.11080267425909957,0.07236410185053391,0.008081791044776118,0.0025938692043966324,0.027176305214387082,0.008405163872940087,0.0,0.7000000000000002,0.0,0.0
THAP5,0.09402375753487613,0.0,0.0,0.08238135774930318,0.008007638888888889,0.003634760896684039,0.0,0.0,0.0,0.0
PLCB2,0.12043641823762395,0.10059521443363784,0.008054193548387097,0.004990358382470406,0.010177164378099093,0.00015739142449545146,0.0,0.5499999999999999,0.0,0.1
ADAMTS15,0.1968287702571406,0.0969933049261874,0.03204548387096775,0.057279573270282526,0.00942931337857595,0.005606547586994432,0.0,0.0,0.0,0.35
SORCS2,0.20965400335835632,0.0,0.11552426608631886,0.093570172481361,0.003650274551958003,0.0018266806721480644,0.0,0.0,0.0,0.5249999999999999
SSR3,0.16192324238740669,0.034281385193398566,0.0,0.12858793895691634,0.009110731201814059,0.001494134714327809,0.0,0.0,0.0,0.3499999999999999
NCMAP,0.09077233066398556,0.0,0.0,0.06333887339992958,0.003931818181818182,0.023501639082237805,0.0,0.0,0.0,0.375
GCG,0.1166665276646662,0.03494929681199336,0.0540477968038335,0.016323385483866453,0.011440175039491782,0.004483269216541576,0.0,0.6750000000000002,0.0,0.5666666666666667
PDCL,0.17353225891677834,0.16151850891677838,0.0,0.0,0.012505000000000002,0.0,0.0,0.0,0.0,0.0
IDO2,0.052166373412961584,0.0,0.00926774193548387,0.012155691462178384,0.027422633406427567,0.0033745618625345675,0.0,0.6499999999999998,0.0,0.0
SUMO2,0.3033225943265428,0.2802295359880107,0.0,0.016785366030839775,0.0063076923076923076,0.0,0.0,0.0,0.0,0.0
KRT39,0.1648510456919189,0.14128260411807594,0.0,0.0,0.018689980035381384,0.005178461538461538,0.0,0.0,0.0,0.0
TBCC,0.07065707350039575,0.04949830400163733,0.0,0.0,0.024688077641133715,6.507004633507429e-05,0.0,0.0,0.0,0.0
CAMSAP2,0.04390750177197818,0.0,0.0,0.03799735411821397,0.005730495818399045,0.0011070110643399645,0.0,0.0,0.0,0.0
CEACAM3,0.19318630112476007,0.023648788663956533,0.16615781011070652,0.0,0.003879898341726847,0.0018867582500535925,0.0,0.0,0.0,0.5
FCRL5,0.05341029482126946,0.0,0.0,0.012895154503156557,0.021141495183115158,0.01952401803153828,0.0,0.0,0.0,0.525
TCP11L2,0.2320183802172564,0.0,0.0,0.2185601935101052,0.0012000000000000005,0.012258186707151165,0.0,0.0,0.0,0.0
SNX17,0.12558929311581238,0.0,0.04181441674718197,0.08201873216845385,0.002249250291662559,9.28470921231761e-05,0.0,0.0,0.0,0.7000000000000002
